date_id,event_date,year,month,day
1,1681-09-22,1681,9,22
2,1685-02-26,1685,2,26
3,1685-04-14,1685,4,14
4,1706-01-01,1706,1,1
5,1716-01-01,1716,1,1
6,1716-02-12,1716,2,12
7,1718-10-01,1718,10,1
8,1730-01-01,1730,1,1
9,1738-01-01,1738,1,1
10,1740-01-01,1740,1,1
11,1742-01-14,1742,1,14
12,1742-09-26,1742,9,26
13,1744-01-01,1744,1,1
14,1745-09-01,1745,9,1
15,1747-03-01,1747,3,1
16,1748-01-26,1748,1,26
17,1748-05-01,1748,5,1
18,1749-05-20,1749,5,20
19,1750-01-01,1750,1,1
20,1752-01-01,1752,1,1
21,1755-01-01,1755,1,1
22,1756-10-12,1756,10,12
23,1757-05-10,1757,5,10
24,1760-01-08,1760,1,8
25,1762-10-09,1762,10,9
26,1763-03-17,1763,3,17
27,1763-07-27,1763,7,27
28,1764-01-01,1764,1,1
29,1765-01-01,1765,1,1
30,1765-03-10,1765,3,10
31,1766-01-01,1766,1,1
32,1767-12-28,1767,12,28
33,1769-01-01,1769,1,1
34,1770-01-01,1770,1,1
35,1773-04-08,1773,4,8
36,1775-01-01,1775,1,1
37,1776-04-04,1776,4,4
38,1776-05-25,1776,5,25
39,1777-01-01,1777,1,1
40,1778-05-09,1778,5,9
41,1779-01-01,1779,1,1
42,1782-01-01,1782,1,1
43,1782-03-02,1782,3,2
44,1785-01-01,1785,1,1
45,1786-03-19,1786,3,19
46,1787-11-30,1787,11,30
47,1788-01-01,1788,1,1
48,1788-07-01,1788,7,1
49,1792-05-25,1792,5,25
50,1793-05-10,1793,5,10
51,1793-06-22,1793,6,22
52,1794-01-01,1794,1,1
53,1797-07-05,1797,7,5
54,1798-01-19,1798,1,19
55,1799-10-23,1799,10,23
56,1800-01-01,1800,1,1
57,1810-01-19,1810,1,19
58,1812-06-04,1812,6,4
59,1814-08-14,1814,8,14
60,1815-11-16,1815,11,16
61,1818-08-16,1818,8,16
62,1819-12-13,1819,12,13
63,1820-09-05,1820,9,5
64,1823-09-01,1823,9,1
65,1823-09-11,1823,9,11
66,1824-01-01,1824,1,1
67,1824-01-20,1824,1,20
68,1824-03-11,1824,3,11
69,1824-10-01,1824,10,1
70,1825-01-01,1825,1,1
71,1825-02-18,1825,2,18
72,1826-04-28,1826,4,28
73,1826-12-13,1826,12,13
74,1827-01-01,1827,1,1
75,1828-07-01,1828,7,1
76,1828-08-06,1828,8,6
77,1829-01-19,1829,1,19
78,1830-01-01,1830,1,1
79,1833-08-22,1833,8,22
80,1834-01-01,1834,1,1
81,1835-04-20,1835,4,20
82,1836-03-09,1836,3,9
83,1838-05-18,1838,5,18
84,1839-12-13,1839,12,13
85,1840-01-01,1840,1,1
86,1842-12-14,1842,12,14
87,1842-12-26,1842,12,26
88,1843-01-25,1843,1,25
89,1843-07-02,1843,7,2
90,1844-01-01,1844,1,1
91,1844-07-19,1844,7,19
92,1844-07-30,1844,7,30
93,1845-11-01,1845,11,1
94,1846-01-01,1846,1,1
95,1846-02-20,1846,2,20
96,1846-04-15,1846,4,15
97,1846-06-05,1846,6,5
98,1847-12-11,1847,12,11
99,1850-01-01,1850,1,1
100,1852-07-24,1852,7,24
101,1852-10-05,1852,10,5
102,1852-11-29,1852,11,29
103,1852-12-20,1852,12,20
104,1854-02-01,1854,2,1
105,1855-01-01,1855,1,1
106,1856-02-21,1856,2,21
107,1856-08-02,1856,8,2
108,1856-12-12,1856,12,12
109,1856-12-13,1856,12,13
110,1859-02-18,1859,2,18
111,1860-01-01,1860,1,1
112,1862-05-22,1862,5,22
113,1863-02-24,1863,2,24
114,1865-01-01,1865,1,1
115,1865-06-12,1865,6,12
116,1866-01-04,1866,1,4
117,1869-01-01,1869,1,1
118,1869-03-10,1869,3,10
119,1870-01-01,1870,1,1
120,1871-01-01,1871,1,1
121,1871-10-29,1871,10,29
122,1872-01-01,1872,1,1
123,1874-11-13,1874,11,13
124,1875-08-12,1875,8,12
125,1876-01-01,1876,1,1
126,1876-09-27,1876,9,27
127,1877-01-01,1877,1,1
128,1877-06-09,1877,6,9
129,1878-04-21,1878,4,21
130,1878-05-09,1878,5,9
131,1880-01-01,1880,1,1
132,1881-01-01,1881,1,1
133,1881-01-30,1881,1,30
134,1882-01-01,1882,1,1
135,1883-01-01,1883,1,1
136,1884-01-01,1884,1,1
137,1886-01-29,1886,1,29
138,1887-01-01,1887,1,1
139,1887-09-08,1887,9,8
140,1887-10-18,1887,10,18
141,1888-02-10,1888,2,10
142,1888-02-21,1888,2,21
143,1888-08-22,1888,8,22
144,1889-03-20,1889,3,20
145,1889-05-31,1889,5,31
146,1890-01-01,1890,1,1
147,1891-01-01,1891,1,1
148,1893-02-27,1893,2,27
149,1893-06-03,1893,6,3
150,1893-09-13,1893,9,13
151,1895-02-03,1895,2,3
152,1895-09-07,1895,9,7
153,1896-01-08,1896,1,8
154,1896-11-14,1896,11,14
155,1899-03-10,1899,3,10
156,1900-01-01,1900,1,1
157,1900-02-26,1900,2,26
158,1901-01-09,1901,1,9
159,1901-02-06,1901,2,6
160,1901-02-26,1901,2,26
161,1902-08-01,1902,8,1
162,1904-01-01,1904,1,1
163,1904-06-18,1904,6,18
164,1905-01-01,1905,1,1
165,1905-06-03,1905,6,3
166,1906-01-01,1906,1,1
167,1907-11-28,1907,11,28
168,1907-12-29,1907,12,29
169,1908-01-01,1908,1,1
170,1908-01-04,1908,1,4
171,1908-07-06,1908,7,6
172,1909-01-14,1909,1,14
173,1909-12-16,1909,12,16
174,1910-01-01,1910,1,1
175,1910-05-24,1910,5,24
176,1910-08-02,1910,8,2
177,1910-08-05,1910,8,5
178,1911-01-01,1911,1,1
179,1911-12-19,1911,12,19
180,1912-11-03,1912,11,3
181,1913-01-07,1913,1,7
182,1913-06-24,1913,6,24
183,1913-11-18,1913,11,18
184,1914-01-01,1914,1,1
185,1914-08-24,1914,8,24
186,1915-01-01,1915,1,1
187,1915-08-20,1915,8,20
188,1915-11-14,1915,11,14
189,1916-05-07,1916,5,7
190,1916-12-21,1916,12,21
191,1917-02-12,1917,2,12
192,1917-11-22,1917,11,22
193,1918-04-05,1918,4,5
194,1919-03-27,1919,3,27
195,1919-05-14,1919,5,14
196,1919-05-31,1919,5,31
