location_id,event_place
1,4 Miles South Of Belton
2,"Back Creek, Randolph, North Carolina, Usa"
3,"Barnwell, South Carolina, United States"
4,"Bedford, Lawrence, Indiana, Usa"
5,Beiver
6,"Belton, Cass County, Missouri, United States Of America"
7,"Belton, Cass, Missouri, Usa"
8,"Belton, Missouri"
9,"Berlin, Somerset, Pennsylvania, United States"
10,"Bevier, Macon County, Missouri"
11,"Bevier, Macon County, Missouri, United States Of America"
12,"Bevier, Macon, Missouri, Usa"
13,"Bevier, Missouri"
14,Bevler
15,"Black River, Independence, Arkansas, Usa"
16,"Blossom, Lamar County, Texas, United States Of America"
17,"Bosworth, Carroll County, Missouri, United States Of America"
18,"Botetourt, Louisa County, Virginia, Usa"
19,"Boulder, Boulder, Colorado"
20,"Breconshire, Wales"
21,"Brookfield Ward 1, Linn, Missouri, Usa"
22,"Brookfield, Linn, Missouri, Usa"
23,"Buchanan County, Missouri, United States"
24,"Burbank, Los Angeles, California, United States"
25,"Butler County, Ohio, United States Of America"
26,"Camden Co., Nc"
27,"Camden, Camden, North Carolina, United States"
28,"Carroll County, Missouri, United States Of America"
29,"Carroll County, Missouri, Usa"
30,"Carroll, Missouri, Usa"
31,"Carrollton, Carroll County, Missouri, United States Of America"
32,"Carrollton, Carroll, Mississippi, Usa"
33,"Carrollton, Carroll, Missouri, Usa"
34,"Carrollton, Missouri, Usa"
35,"Carrolton, Missouri"
36,"Cass, Tear"
37,"Cedar Rapids, Linn, Iowa, Usa"
38,"Cefnpennar, Aberdare, Glamorgan, Wales"
39,"Charleston, Franklin Co., Ar"
40,"Chester, Pennsylvania"
41,"Claiborne County, Tennessee, Usa"
42,"Clay, Missouri, Usa"
43,"Cocalico Township, Lancaster, Pennsylvania, Usa"
44,"Conkling, Pawnee, Kansas, Usa"
45,"Connecticut, United States Of America"
46,"Cooper County, Missouri, Usa"
47,"Crawford, Kansas, Usa"
48,"Creighton, Cass, Missouri, United States"
49,"Cromwell, Huntingdon, Pennsylvania, Usa"
50,"Danvers, Essex, Massachusetts, United States"
51,"Deer Lodge County, Montana, Usa"
52,"Dodge City, Ford County, Kansas, United States Of America"
53,"Douglas, Massachusetts"
54,"Douglas, Worchester, Massachusetts"
55,"Douglass, Kan., Douglass"
56,"Duplin County, North Carolina, Usa"
57,"Erie, Neosho County, Kansas, United States Of America"
58,"Erie, Neosho, Kansas, Usa"
59,"Fairbank, Sullivan, Indiana, Usa"
60,"Fairbanks, Sullivan County, Indiana, United States Of America"
61,"Fairbanks, Sullivan, Indiana, Usa"
62,"Fannett, Franklin, Pennsylvania, Usa"
63,"Farmersburg, Sullivan County, Indiana, United States Of America"
64,"Faustwell, Somerset, Pennsylvania, Usa"
65,"Fincastle, Botetourt, Virginia, United States"
66,"First Christian Church, Harrisonville, Cass, Missouri, Usa"
67,"Florence, Hampshire County, Massachusetts, United States Of America"
68,"Florence, Lauderdale, Alabama"
69,"Florence, Lauderdale, Alabama, Usa"
70,"Fort Smith, Sebastian Co., Ar"
71,France
