event_id,person_key,event_type_id,date_id,location_id
1,307,1,295,115.0
2,308,1,291,119.0
3,311,1,300,8.0
4,312,1,219,118.0
5,313,1,213,119.0
6,314,1,197,109.0
7,315,1,174,220.0
8,316,1,213,14.0
9,317,1,301,85.0
10,318,1,229,55.0
11,319,1,229,135.0
12,1,1,229,115.0
13,2,1,132,145.0
14,3,1,120,171.0
15,4,1,99,245.0
16,5,1,120,247.0
17,6,1,120,247.0
18,7,1,293,139.0
19,8,1,197,109.0
20,9,1,274,108.0
21,10,1,174,122.0
22,11,1,174,5.0
23,12,1,232,125.0
24,13,1,229,115.0
25,15,1,156,12.0
26,16,1,156,12.0
27,17,1,174,122.0
28,18,1,156,12.0
29,19,1,233,47.0
30,20,1,197,240.0
31,21,1,213,135.0
32,22,1,213,135.0
33,23,1,213,135.0
34,24,1,213,135.0
35,25,1,213,135.0
36,26,1,174,78.0
37,27,1,174,78.0
38,28,1,131,59.0
39,29,1,58,165.0
40,30,1,63,26.0
41,31,1,6,165.0
42,32,1,13,181.0
43,33,1,11,56.0
44,34,1,10,
45,35,1,229,44.0
46,36,1,247,34.0
47,37,1,303,85.0
48,38,1,327,126.0
49,39,1,333,
50,40,1,229,115.0
51,41,1,281,120.0
52,42,1,243,93.0
53,43,1,213,33.0
54,44,1,229,33.0
55,45,1,213,33.0
56,46,1,197,174.0
57,47,1,197,174.0
58,48,1,174,89.0
59,49,1,156,89.0
60,50,1,131,15.0
61,51,1,156,106.0
62,52,1,131,15.0
63,53,1,131,15.0
64,54,1,174,107.0
65,55,1,174,107.0
66,56,1,196,182.0
67,57,1,156,106.0
68,58,1,174,107.0
69,59,1,174,107.0
70,60,1,119,15.0
71,61,1,131,15.0
72,63,1,131,15.0
73,65,1,31,18.0
74,66,1,65,242.0
75,67,1,229,33.0
76,68,1,86,
77,69,1,213,33.0
78,70,1,229,33.0
79,71,1,209,28.0
80,72,1,213,33.0
81,73,1,229,33.0
82,74,1,213,33.0
83,75,1,213,33.0
84,76,1,229,33.0
85,77,1,213,33.0
86,78,1,215,31.0
87,79,1,198,
88,80,1,229,33.0
89,81,1,229,33.0
90,82,1,229,33.0
91,83,1,229,33.0
92,84,1,229,33.0
93,85,1,213,33.0
94,87,1,49,
95,88,1,27,190.0
96,90,1,156,221.0
97,91,1,156,221.0
98,92,1,66,46.0
99,93,1,67,77.0
100,94,1,53,127.0
101,95,1,54,140.0
102,96,1,36,200.0
103,97,1,42,166.0
104,98,1,247,120.0
105,99,1,247,119.0
106,100,1,229,115.0
107,101,1,229,115.0
108,102,1,78,137.0
109,103,1,46,162.0
110,104,1,20,162.0
111,105,1,50,193.0
112,106,1,38,228.0
113,107,1,18,217.0
114,108,1,28,194.0
115,109,1,34,243.0
116,110,1,13,202.0
117,112,1,16,232.0
118,113,1,19,164.0
119,114,1,19,2.0
120,115,1,14,65.0
121,116,1,21,192.0
122,117,1,24,203.0
123,118,1,29,189.0
124,119,1,156,221.0
125,120,1,156,221.0
126,121,1,156,221.0
127,122,1,156,221.0
128,123,1,156,221.0
129,124,1,156,221.0
130,125,1,256,119.0
131,126,1,229,115.0
132,127,1,213,115.0
133,128,1,213,115.0
134,129,1,213,115.0
135,130,1,197,111.0
136,131,1,197,111.0
137,132,1,174,122.0
138,133,1,174,122.0
139,134,1,197,111.0
140,135,1,197,111.0
141,136,1,156,235.0
142,137,1,131,141.0
143,138,1,131,141.0
144,139,1,131,141.0
145,140,1,131,141.0
146,141,1,131,235.0
147,142,1,131,235.0
148,143,1,131,235.0
149,144,1,111,
150,145,1,44,167.0
151,146,1,45,212.0
152,147,1,17,53.0
153,148,1,12,225.0
154,149,1,47,230.0
155,150,1,35,230.0
156,152,1,41,
157,153,1,34,45.0
158,154,1,39,
159,155,1,43,168.0
160,156,1,2,97.0
161,158,1,28,229.0
162,159,1,33,229.0
163,162,1,1,50.0
164,163,1,114,185.0
165,164,1,114,185.0
166,165,1,229,115.0
167,166,1,174,121.0
168,167,1,229,115.0
169,168,1,174,121.0
170,169,1,174,121.0
171,170,1,174,121.0
172,171,1,174,121.0
173,172,1,213,115.0
174,173,1,156,21.0
175,174,1,156,21.0
176,175,1,131,142.0
177,176,1,131,142.0
178,177,1,131,142.0
179,178,1,131,142.0
180,179,1,131,142.0
181,180,1,131,142.0
182,181,1,318,118.0
183,182,1,287,7.0
184,183,1,284,197.0
185,184,1,174,62.0
186,185,1,197,176.0
187,186,1,197,176.0
188,187,1,229,44.0
189,188,1,213,44.0
190,189,1,197,44.0
191,190,1,213,135.0
192,191,1,213,115.0
193,192,1,197,110.0
194,193,1,229,173.0
195,194,1,197,110.0
196,195,1,119,62.0
197,196,1,156,62.0
198,197,1,174,62.0
199,198,1,156,62.0
200,199,1,156,62.0
201,200,1,174,62.0
202,201,1,56,72.0
203,202,1,119,62.0
204,203,1,119,62.0
205,204,1,156,176.0
206,205,1,30,170.0
207,206,1,82,73.0
208,207,1,26,40.0
209,209,1,156,176.0
210,210,1,174,176.0
211,211,1,119,176.0
212,212,1,119,176.0
213,213,1,29,
214,214,1,36,
215,215,1,72,184.0
216,216,1,71,209.0
217,217,1,91,148.0
218,218,1,23,131.0
219,219,1,34,43.0
220,220,1,119,176.0
221,221,1,119,176.0
222,222,1,119,176.0
223,223,1,119,49.0
224,224,1,119,49.0
225,225,1,229,44.0
226,226,1,229,132.0
227,227,1,131,239.0
228,228,1,131,239.0
229,229,1,131,239.0
230,230,1,131,239.0
231,231,1,131,239.0
232,232,1,40,
233,233,1,37,184.0
234,234,1,131,59.0
235,235,1,93,25.0
236,236,1,98,222.0
237,237,1,119,61.0
238,238,1,119,61.0
239,239,1,119,61.0
240,240,1,119,61.0
241,241,1,213,152.0
242,242,1,213,152.0
243,243,1,197,206.0
244,244,1,206,58.0
245,245,1,174,152.0
246,246,1,197,206.0
247,247,1,156,152.0
248,248,1,68,224.0
249,249,1,76,71.0
250,250,1,92,208.0
251,251,1,184,11.0
252,252,1,285,198.0
253,253,1,243,138.0
254,254,1,229,115.0
255,255,1,229,115.0
256,256,1,229,115.0
257,257,1,262,118.0
258,258,1,229,115.0
259,259,1,243,1.0
260,260,1,229,234.0
261,261,1,126,76.0
262,262,1,143,19.0
263,263,1,177,13.0
264,264,1,197,109.0
265,265,1,193,113.0
266,266,1,220,153.0
267,267,1,241,146.0
268,269,1,253,119.0
269,271,1,308,195.0
270,273,1,290,84.0
271,274,1,279,
272,276,1,125,150.0
273,277,1,151,149.0
274,278,1,208,99.0
275,279,1,157,205.0
276,280,1,200,205.0
277,281,1,237,33.0
278,284,1,190,180.0
279,285,1,195,48.0
280,286,1,94,245.0
281,287,1,127,238.0
282,288,1,213,117.0
283,289,1,154,75.0
284,290,1,197,109.0
285,291,1,197,109.0
286,292,1,197,109.0
287,294,1,213,117.0
288,295,1,213,14.0
289,296,1,120,38.0
290,297,1,120,38.0
291,298,1,120,38.0
292,299,1,120,38.0
293,300,1,229,115.0
294,301,1,243,155.0
295,302,1,243,36.0
296,303,1,144,
297,304,1,174,121.0
298,305,1,135,
299,306,1,141,123.0
300,309,2,331,113.0
301,310,2,317,196.0
302,311,2,240,91.0
303,312,2,105,91.0
304,313,2,257,91.0
305,314,2,296,94.0
306,315,2,280,220.0
307,316,2,278,114.0
308,318,2,324,
309,319,2,302,80.0
310,1,2,276,196.0
311,2,2,146,191.0
312,3,2,131,246.0
313,4,2,99,
314,8,2,211,91.0
315,9,2,273,91.0
316,10,2,199,11.0
317,11,2,235,12.0
318,12,2,226,113.0
319,13,2,269,7.0
320,14,2,162,11.0
321,17,2,244,233.0
322,18,2,223,37.0
323,19,2,238,133.0
324,20,2,202,205.0
325,21,2,306,79.0
326,22,2,259,70.0
327,23,2,248,39.0
328,24,2,319,218.0
329,25,2,309,219.0
330,26,2,216,57.0
331,27,2,181,57.0
332,28,2,171,60.0
333,29,2,130,57.0
334,30,2,161,57.0
335,31,2,21,27.0
336,32,2,52,27.0
337,33,2,70,166.0
338,35,2,261,134.0
339,40,2,332,197.0
340,41,2,299,31.0
341,42,2,326,35.0
342,43,2,222,31.0
343,44,2,267,32.0
344,46,2,314,92.0
345,47,2,255,29.0
346,48,2,228,16.0
347,49,2,163,16.0
348,51,2,191,179.0
349,52,2,145,87.0
350,64,2,90,69.0
351,65,2,75,68.0
352,66,2,139,88.0
353,67,2,251,31.0
354,68,2,160,163.0
355,69,2,217,31.0
356,70,2,294,31.0
357,71,2,212,31.0
358,72,2,231,31.0
359,73,2,321,31.0
360,74,2,277,31.0
361,75,2,282,17.0
362,76,2,315,31.0
363,77,2,245,31.0
364,78,2,323,31.0
365,79,2,330,31.0
366,86,2,103,237.0
367,87,2,101,28.0
368,88,2,62,41.0
369,90,2,192,143.0
370,91,2,166,
371,92,2,173,204.0
372,93,2,188,215.0
373,95,2,123,214.0
374,96,2,118,216.0
375,97,2,74,23.0
376,98,2,289,91.0
377,99,2,298,91.0
378,101,2,272,91.0
379,102,2,134,95.0
380,103,2,107,4.0
381,104,2,73,162.0
382,105,2,81,137.0
383,106,2,110,231.0
384,107,2,83,81.0
385,108,2,78,193.0
386,109,2,79,115.0
387,110,2,39,
388,111,2,64,86.0
389,114,2,59,3.0
390,115,2,77,104.0
391,116,2,48,236.0
392,117,2,95,201.0
393,118,2,102,200.0
394,130,2,205,115.0
395,131,2,204,113.0
396,141,2,147,
397,142,2,136,
398,144,2,178,
399,145,2,88,129.0
400,146,2,104,128.0
401,147,2,60,168.0
402,148,2,57,168.0
403,149,2,122,67.0
404,150,2,96,168.0
405,151,2,116,168.0
406,152,2,117,168.0
407,153,2,108,168.0
408,154,2,84,168.0
409,155,2,106,168.0
410,156,2,22,226.0
411,157,2,5,161.0
412,159,2,109,169.0
413,160,2,8,227.0
414,161,2,9,227.0
415,162,2,15,227.0
416,182,2,286,6.0
417,183,2,283,113.0
418,184,2,182,74.0
419,185,2,210,176.0
420,186,2,227,175.0
421,187,2,311,183.0
422,195,2,150,213.0
423,201,2,133,156.0
424,202,2,239,62.0
425,206,2,179,213.0
426,207,2,55,
427,211,2,121,210.0
428,212,2,142,210.0
429,213,2,85,199.0
430,214,2,85,199.0
431,215,2,168,210.0
432,216,2,203,105.0
433,217,2,201,147.0
434,218,2,89,64.0
435,219,2,97,176.0
436,232,2,115,60.0
437,233,2,61,60.0
438,234,2,137,60.0
439,235,2,207,60.0
440,236,2,149,177.0
441,237,2,186,63.0
442,241,2,236,205.0
443,242,2,225,205.0
444,244,2,270,205.0
445,245,2,265,205.0
446,246,2,305,205.0
447,248,2,165,205.0
448,249,2,189,205.0
449,250,2,148,178.0
450,251,2,187,11.0
451,253,2,297,113.0
452,254,2,275,91.0
453,255,2,260,91.0
454,257,2,325,101.0
455,259,2,322,6.0
456,260,2,246,24.0
457,261,2,218,116.0
458,262,2,250,96.0
459,263,2,176,114.0
